Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,1.45732E-08,1.20000E-03
2,-2.00000E+02,-2.00000E+02,0.00000E+00,2.03114E-10,9.00000E-03
3,-1.00000E+02,-2.00000E+02,0.00000E+00,2.09786E-09,3.00000E-03
4,0.00000E+00,-2.00000E+02,0.00000E+00,4.45949E-09,2.10000E-03
5,1.00000E+02,-2.00000E+02,0.00000E+00,2.23366E-09,2.90000E-03
6,2.00000E+02,-2.00000E+02,0.00000E+00,2.73897E-10,8.10000E-03
7,-2.00000E+02,-1.00000E+02,0.00000E+00,6.35201E-10,5.30000E-03
8,-1.00000E+02,-1.00000E+02,0.00000E+00,5.04242E-09,2.00000E-03
9,0.00000E+00,-1.00000E+02,0.00000E+00,1.19300E-08,1.30000E-03
10,1.00000E+02,-1.00000E+02,0.00000E+00,6.85413E-09,1.70000E-03
11,2.00000E+02,-1.00000E+02,0.00000E+00,9.89084E-10,4.30000E-03
12,-2.00000E+02,0.00000E+00,0.00000E+00,1.17986E-09,4.00000E-03
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.74459E-09,1.80000E-03
14,1.00000E+02,0.00000E+00,0.00000E+00,8.44254E-09,1.50000E-03
15,2.00000E+02,0.00000E+00,0.00000E+00,1.65921E-09,3.30000E-03
16,-2.00000E+02,1.00000E+02,0.00000E+00,2.55218E-09,2.80000E-03
17,-1.00000E+02,1.00000E+02,0.00000E+00,7.35407E-09,1.60000E-03
18,0.00000E+00,1.00000E+02,0.00000E+00,1.05041E-08,1.40000E-03
19,1.00000E+02,1.00000E+02,0.00000E+00,5.02487E-09,1.90000E-03
20,2.00000E+02,1.00000E+02,0.00000E+00,1.67131E-09,3.40000E-03
21,-2.00000E+02,2.00000E+02,0.00000E+00,2.90122E-10,7.60000E-03
22,-1.00000E+02,2.00000E+02,0.00000E+00,3.08734E-09,2.50000E-03
23,0.00000E+00,2.00000E+02,0.00000E+00,5.78913E-09,1.90000E-03
24,1.00000E+02,2.00000E+02,0.00000E+00,2.86214E-09,2.60000E-03
25,2.00000E+02,2.00000E+02,0.00000E+00,8.34729E-10,4.70000E-03
26,-7.00000E+02,-7.00000E+02,0.00000E+00,1.23861E-13,1.83900E-01
27,-6.00000E+02,-7.00000E+02,0.00000E+00,1.45921E-11,2.77000E-02
28,-5.00000E+02,-7.00000E+02,0.00000E+00,6.10674E-11,1.35000E-02
29,-4.00000E+02,-7.00000E+02,0.00000E+00,3.67802E-11,1.72000E-02
30,-3.00000E+02,-7.00000E+02,0.00000E+00,1.97861E-13,1.78200E-01
31,-7.00000E+02,-6.00000E+02,0.00000E+00,9.75914E-12,3.31000E-02
32,-6.00000E+02,-6.00000E+02,0.00000E+00,2.43787E-09,2.80000E-03
33,-5.00000E+02,-6.00000E+02,0.00000E+00,9.81683E-09,1.40000E-03
34,-4.00000E+02,-6.00000E+02,0.00000E+00,5.44267E-09,1.90000E-03
35,-3.00000E+02,-6.00000E+02,0.00000E+00,2.09852E-11,2.35000E-02
36,-7.00000E+02,-5.00000E+02,0.00000E+00,3.19335E-11,1.89000E-02
37,-6.00000E+02,-5.00000E+02,0.00000E+00,5.51085E-09,1.90000E-03
38,-5.00000E+02,-5.00000E+02,0.00000E+00,2.03617E-08,1.00000E-03
39,-4.00000E+02,-5.00000E+02,0.00000E+00,1.08686E-08,1.30000E-03
40,-3.00000E+02,-5.00000E+02,0.00000E+00,5.84390E-11,1.36000E-02
41,-7.00000E+02,-4.00000E+02,0.00000E+00,1.36463E-11,2.65000E-02
42,-6.00000E+02,-4.00000E+02,0.00000E+00,2.95952E-09,2.50000E-03
43,-5.00000E+02,-4.00000E+02,0.00000E+00,9.56500E-09,1.40000E-03
44,-4.00000E+02,-4.00000E+02,0.00000E+00,4.75193E-09,2.00000E-03
45,-3.00000E+02,-4.00000E+02,0.00000E+00,3.41164E-11,1.80000E-02
46,-7.00000E+02,-3.00000E+02,0.00000E+00,1.00957E-13,1.97300E-01
47,-6.00000E+02,-3.00000E+02,0.00000E+00,9.58897E-12,3.25000E-02
48,-5.00000E+02,-3.00000E+02,0.00000E+00,4.03507E-11,1.66000E-02
49,-4.00000E+02,-3.00000E+02,0.00000E+00,2.61734E-11,2.01000E-02
50,-3.00000E+02,-3.00000E+02,0.00000E+00,3.58285E-13,1.20300E-01
51,-2.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
52,-1.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
53,0.00000E+00,-7.00000E+02,0.00000E+00,1.45660E-13,2.71400E-01
54,1.00000E+02,-7.00000E+02,0.00000E+00,1.63661E-15,8.05900E-01
55,2.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
56,-2.00000E+02,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
57,-1.00000E+02,-6.00000E+02,0.00000E+00,1.39835E-10,9.00000E-03
58,0.00000E+00,-6.00000E+02,0.00000E+00,1.43688E-09,2.70000E-03
59,1.00000E+02,-6.00000E+02,0.00000E+00,4.67170E-10,4.60000E-03
60,2.00000E+02,-6.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
61,-2.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
62,-1.00000E+02,-5.00000E+02,0.00000E+00,4.23314E-10,4.70000E-03
63,0.00000E+00,-5.00000E+02,0.00000E+00,7.01028E-09,1.20000E-03
64,1.00000E+02,-5.00000E+02,0.00000E+00,1.51061E-09,2.70000E-03
65,2.00000E+02,-5.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
66,-2.00000E+02,-4.00000E+02,0.00000E+00,4.23569E-13,1.26300E-01
67,-1.00000E+02,-4.00000E+02,0.00000E+00,1.86887E-10,7.20000E-03
68,0.00000E+00,-4.00000E+02,0.00000E+00,2.99383E-09,1.90000E-03
69,1.00000E+02,-4.00000E+02,0.00000E+00,4.02327E-10,4.90000E-03
70,2.00000E+02,-4.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
71,-2.00000E+02,-3.00000E+02,0.00000E+00,6.11356E-13,1.06300E-01
72,-1.00000E+02,-3.00000E+02,0.00000E+00,1.75349E-11,2.58000E-02
73,0.00000E+00,-3.00000E+02,0.00000E+00,3.08422E-11,1.92000E-02
74,1.00000E+02,-3.00000E+02,0.00000E+00,7.09339E-12,3.78000E-02
75,2.00000E+02,-3.00000E+02,0.00000E+00,3.55890E-13,1.90800E-01
