Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,1.02929E-09,6.10000E-03
2,-2.00000E+02,-2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
3,-1.00000E+02,-2.00000E+02,0.00000E+00,6.34704E-14,2.28300E-01
4,0.00000E+00,-2.00000E+02,0.00000E+00,3.07119E-11,3.56000E-02
5,1.00000E+02,-2.00000E+02,0.00000E+00,1.00112E-11,4.64000E-02
6,2.00000E+02,-2.00000E+02,0.00000E+00,2.91792E-11,3.04000E-02
7,-2.00000E+02,-1.00000E+02,0.00000E+00,2.06601E-12,8.11000E-02
8,-1.00000E+02,-1.00000E+02,0.00000E+00,2.13919E-10,1.21000E-02
9,0.00000E+00,-1.00000E+02,0.00000E+00,3.31599E-10,1.10000E-02
10,1.00000E+02,-1.00000E+02,0.00000E+00,1.02939E-09,6.20000E-03
11,2.00000E+02,-1.00000E+02,0.00000E+00,5.25054E-10,8.80000E-03
12,-2.00000E+02,0.00000E+00,0.00000E+00,9.40312E-12,4.59000E-02
13,-1.00000E+02,0.00000E+00,0.00000E+00,8.91092E-10,6.50000E-03
14,1.00000E+02,0.00000E+00,0.00000E+00,1.76332E-09,4.90000E-03
15,2.00000E+02,0.00000E+00,0.00000E+00,7.51940E-10,7.30000E-03
16,-2.00000E+02,1.00000E+02,0.00000E+00,1.52661E-11,4.05000E-02
17,-1.00000E+02,1.00000E+02,0.00000E+00,3.56641E-10,1.02000E-02
18,0.00000E+00,1.00000E+02,0.00000E+00,1.74857E-09,4.70000E-03
19,1.00000E+02,1.00000E+02,0.00000E+00,3.03408E-09,3.60000E-03
20,2.00000E+02,1.00000E+02,0.00000E+00,3.41253E-10,9.70000E-03
21,-2.00000E+02,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
22,-1.00000E+02,2.00000E+02,0.00000E+00,2.74928E-11,4.08000E-02
23,0.00000E+00,2.00000E+02,0.00000E+00,4.34255E-10,9.20000E-03
24,1.00000E+02,2.00000E+02,0.00000E+00,2.30195E-09,4.20000E-03
25,2.00000E+02,2.00000E+02,0.00000E+00,3.20916E-10,1.09000E-02
26,-7.00000E+02,-7.00000E+02,0.00000E+00,3.51926E-13,1.47800E-01
27,-6.00000E+02,-7.00000E+02,0.00000E+00,4.11824E-11,2.35000E-02
28,-5.00000E+02,-7.00000E+02,0.00000E+00,5.91228E-11,1.99000E-02
29,-4.00000E+02,-7.00000E+02,0.00000E+00,9.37676E-12,4.33000E-02
30,-3.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
31,-7.00000E+02,-6.00000E+02,0.00000E+00,5.63976E-11,2.03000E-02
32,-6.00000E+02,-6.00000E+02,0.00000E+00,7.45942E-09,2.30000E-03
33,-5.00000E+02,-6.00000E+02,0.00000E+00,1.02718E-08,2.00000E-03
34,-4.00000E+02,-6.00000E+02,0.00000E+00,1.50025E-09,5.00000E-03
35,-3.00000E+02,-6.00000E+02,0.00000E+00,2.16335E-12,8.46000E-02
36,-7.00000E+02,-5.00000E+02,0.00000E+00,9.83539E-11,1.46000E-02
37,-6.00000E+02,-5.00000E+02,0.00000E+00,1.64993E-08,1.60000E-03
38,-5.00000E+02,-5.00000E+02,0.00000E+00,1.87580E-08,1.40000E-03
39,-4.00000E+02,-5.00000E+02,0.00000E+00,2.79789E-09,3.60000E-03
40,-3.00000E+02,-5.00000E+02,0.00000E+00,1.05985E-11,4.12000E-02
41,-7.00000E+02,-4.00000E+02,0.00000E+00,2.75702E-11,2.89000E-02
42,-6.00000E+02,-4.00000E+02,0.00000E+00,4.90014E-09,2.80000E-03
43,-5.00000E+02,-4.00000E+02,0.00000E+00,1.07551E-08,1.90000E-03
44,-4.00000E+02,-4.00000E+02,0.00000E+00,2.33811E-09,3.90000E-03
45,-3.00000E+02,-4.00000E+02,0.00000E+00,3.90285E-12,6.95000E-02
46,-7.00000E+02,-3.00000E+02,0.00000E+00,4.85220E-13,2.14800E-01
47,-6.00000E+02,-3.00000E+02,0.00000E+00,2.65489E-11,2.97000E-02
48,-5.00000E+02,-3.00000E+02,0.00000E+00,4.80999E-11,2.09000E-02
49,-4.00000E+02,-3.00000E+02,0.00000E+00,1.16232E-11,4.40000E-02
50,-3.00000E+02,-3.00000E+02,0.00000E+00,6.08346E-14,4.43900E-01
51,-2.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
52,-1.00000E+02,-7.00000E+02,0.00000E+00,9.27949E-12,4.58000E-02
53,0.00000E+00,-7.00000E+02,0.00000E+00,4.60767E-11,2.24000E-02
54,1.00000E+02,-7.00000E+02,0.00000E+00,1.06546E-12,1.55700E-01
55,2.00000E+02,-7.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
56,-2.00000E+02,-6.00000E+02,0.00000E+00,2.27415E-11,2.96000E-02
57,-1.00000E+02,-6.00000E+02,0.00000E+00,3.97465E-09,2.30000E-03
58,0.00000E+00,-6.00000E+02,0.00000E+00,9.60156E-09,1.50000E-03
59,1.00000E+02,-6.00000E+02,0.00000E+00,1.33504E-10,1.11000E-02
60,2.00000E+02,-6.00000E+02,0.00000E+00,2.59926E-15,1.00000E+00
61,-2.00000E+02,-5.00000E+02,0.00000E+00,2.73845E-11,2.80000E-02
62,-1.00000E+02,-5.00000E+02,0.00000E+00,8.17057E-09,1.60000E-03
63,0.00000E+00,-5.00000E+02,0.00000E+00,1.14147E-08,1.40000E-03
64,1.00000E+02,-5.00000E+02,0.00000E+00,4.73195E-09,2.10000E-03
65,2.00000E+02,-5.00000E+02,0.00000E+00,3.26512E-11,2.65000E-02
66,-2.00000E+02,-4.00000E+02,0.00000E+00,5.74866E-13,1.74200E-01
67,-1.00000E+02,-4.00000E+02,0.00000E+00,2.55162E-09,2.90000E-03
68,0.00000E+00,-4.00000E+02,0.00000E+00,4.53048E-09,2.20000E-03
69,1.00000E+02,-4.00000E+02,0.00000E+00,1.11302E-08,1.40000E-03
70,2.00000E+02,-4.00000E+02,0.00000E+00,3.54195E-11,2.44000E-02
71,-2.00000E+02,-3.00000E+02,0.00000E+00,3.14481E-14,5.65100E-01
72,-1.00000E+02,-3.00000E+02,0.00000E+00,1.27040E-11,4.78000E-02
73,0.00000E+00,-3.00000E+02,0.00000E+00,2.59872E-12,8.45000E-02
74,1.00000E+02,-3.00000E+02,0.00000E+00,2.68072E-11,3.04000E-02
75,2.00000E+02,-3.00000E+02,0.00000E+00,3.07278E-14,5.71300E-01
76,3.00000E+02,-7.00000E+02,0.00000E+00,3.58619E-13,1.65500E-01
77,4.00000E+02,-7.00000E+02,0.00000E+00,3.86729E-12,8.04000E-02
78,5.00000E+02,-7.00000E+02,0.00000E+00,4.55821E-12,6.61000E-02
79,6.00000E+02,-7.00000E+02,0.00000E+00,3.95357E-12,7.21000E-02
80,7.00000E+02,-7.00000E+02,0.00000E+00,1.53534E-14,6.36400E-01
81,3.00000E+02,-6.00000E+02,0.00000E+00,7.36053E-12,5.27000E-02
82,4.00000E+02,-6.00000E+02,0.00000E+00,1.06196E-09,5.90000E-03
83,5.00000E+02,-6.00000E+02,0.00000E+00,9.48868E-10,6.30000E-03
84,6.00000E+02,-6.00000E+02,0.00000E+00,1.51584E-09,5.00000E-03
85,7.00000E+02,-6.00000E+02,0.00000E+00,7.52901E-12,5.64000E-02
86,3.00000E+02,-5.00000E+02,0.00000E+00,2.05030E-11,3.50000E-02
87,4.00000E+02,-5.00000E+02,0.00000E+00,5.72918E-09,2.70000E-03
88,5.00000E+02,-5.00000E+02,0.00000E+00,7.74489E-09,2.30000E-03
89,6.00000E+02,-5.00000E+02,0.00000E+00,2.63821E-09,3.70000E-03
90,7.00000E+02,-5.00000E+02,0.00000E+00,1.49579E-11,3.80000E-02
91,3.00000E+02,-4.00000E+02,0.00000E+00,1.70320E-11,3.75000E-02
92,4.00000E+02,-4.00000E+02,0.00000E+00,4.46019E-09,3.00000E-03
93,5.00000E+02,-4.00000E+02,0.00000E+00,1.45830E-08,1.70000E-03
94,6.00000E+02,-4.00000E+02,0.00000E+00,5.74167E-09,2.60000E-03
95,7.00000E+02,-4.00000E+02,0.00000E+00,2.10072E-11,3.18000E-02
96,3.00000E+02,-3.00000E+02,0.00000E+00,1.66713E-13,2.25300E-01
97,4.00000E+02,-3.00000E+02,0.00000E+00,3.57378E-11,2.51000E-02
98,5.00000E+02,-3.00000E+02,0.00000E+00,1.03879E-10,1.50000E-02
99,6.00000E+02,-3.00000E+02,0.00000E+00,6.62807E-11,1.84000E-02
100,7.00000E+02,-3.00000E+02,0.00000E+00,1.02828E-12,9.96000E-02
101,-7.00000E+02,-2.00000E+02,0.00000E+00,4.84253E-13,1.81000E-01
102,-6.00000E+02,-2.00000E+02,0.00000E+00,1.97718E-11,3.33000E-02
103,-5.00000E+02,-2.00000E+02,0.00000E+00,2.21684E-11,3.08000E-02
104,-4.00000E+02,-2.00000E+02,0.00000E+00,3.87807E-12,6.86000E-02
105,-3.00000E+02,-2.00000E+02,0.00000E+00,1.54322E-15,1.00000E+00
106,-7.00000E+02,-1.00000E+02,0.00000E+00,2.03690E-11,3.37000E-02
107,-6.00000E+02,-1.00000E+02,0.00000E+00,3.36268E-09,3.50000E-03
108,-5.00000E+02,-1.00000E+02,0.00000E+00,4.64805E-09,3.00000E-03
109,-4.00000E+02,-1.00000E+02,0.00000E+00,1.04821E-09,5.80000E-03
110,-3.00000E+02,-1.00000E+02,0.00000E+00,3.66286E-12,7.88000E-02
111,-7.00000E+02,0.00000E+00,0.00000E+00,7.46594E-12,5.66000E-02
112,-6.00000E+02,0.00000E+00,0.00000E+00,2.47616E-09,3.90000E-03
113,-5.00000E+02,0.00000E+00,0.00000E+00,7.86331E-09,2.20000E-03
114,-4.00000E+02,0.00000E+00,0.00000E+00,4.54834E-09,3.00000E-03
115,-3.00000E+02,0.00000E+00,0.00000E+00,2.15117E-11,3.28000E-02
116,-7.00000E+02,1.00000E+02,0.00000E+00,2.16200E-12,8.40000E-02
117,-6.00000E+02,1.00000E+02,0.00000E+00,8.73227E-10,6.80000E-03
118,-5.00000E+02,1.00000E+02,0.00000E+00,2.51863E-09,3.90000E-03
119,-4.00000E+02,1.00000E+02,0.00000E+00,1.37860E-09,5.20000E-03
120,-3.00000E+02,1.00000E+02,0.00000E+00,1.27842E-11,3.90000E-02
121,-7.00000E+02,2.00000E+02,0.00000E+00,1.55812E-14,8.41500E-01
122,-6.00000E+02,2.00000E+02,0.00000E+00,1.23195E-12,1.16600E-01
123,-5.00000E+02,2.00000E+02,0.00000E+00,6.09468E-12,6.07000E-02
124,-4.00000E+02,2.00000E+02,0.00000E+00,5.68904E-12,5.60000E-02
125,-3.00000E+02,2.00000E+02,0.00000E+00,6.15896E-14,4.32300E-01
