Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,8.38315E-08,3.00000E-04
2,-2.00000E+02,-2.00000E+02,0.00000E+00,4.95473E-09,1.30000E-03
3,-1.00000E+02,-2.00000E+02,0.00000E+00,1.47275E-08,8.00000E-04
4,0.00000E+00,-2.00000E+02,0.00000E+00,2.00101E-08,7.00000E-04
5,1.00000E+02,-2.00000E+02,0.00000E+00,1.52240E-08,7.00000E-04
6,2.00000E+02,-2.00000E+02,0.00000E+00,5.97246E-09,1.20000E-03
7,-2.00000E+02,-1.00000E+02,0.00000E+00,1.42579E-08,8.00000E-04
8,-1.00000E+02,-1.00000E+02,0.00000E+00,4.30580E-08,4.00000E-04
9,0.00000E+00,-1.00000E+02,0.00000E+00,5.95835E-08,4.00000E-04
10,1.00000E+02,-1.00000E+02,0.00000E+00,4.34719E-08,4.00000E-04
11,2.00000E+02,-1.00000E+02,0.00000E+00,1.51374E-08,7.00000E-04
12,-2.00000E+02,0.00000E+00,0.00000E+00,1.90912E-08,7.00000E-04
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.96624E-08,4.00000E-04
14,1.00000E+02,0.00000E+00,0.00000E+00,5.90409E-08,4.00000E-04
15,2.00000E+02,0.00000E+00,0.00000E+00,1.93054E-08,7.00000E-04
16,-2.00000E+02,1.00000E+02,0.00000E+00,1.38490E-08,8.00000E-04
17,-1.00000E+02,1.00000E+02,0.00000E+00,4.27646E-08,4.00000E-04
18,0.00000E+00,1.00000E+02,0.00000E+00,5.92118E-08,4.00000E-04
19,1.00000E+02,1.00000E+02,0.00000E+00,4.11255E-08,5.00000E-04
20,2.00000E+02,1.00000E+02,0.00000E+00,1.35856E-08,8.00000E-04
21,-2.00000E+02,2.00000E+02,0.00000E+00,5.42057E-09,1.30000E-03
22,-1.00000E+02,2.00000E+02,0.00000E+00,1.44537E-08,8.00000E-04
23,0.00000E+00,2.00000E+02,0.00000E+00,1.86380E-08,7.00000E-04
24,1.00000E+02,2.00000E+02,0.00000E+00,1.35220E-08,8.00000E-04
25,2.00000E+02,2.00000E+02,0.00000E+00,4.77294E-09,1.30000E-03
26,-7.00000E+02,-7.00000E+02,0.00000E+00,3.80172E-12,4.61000E-02
27,-6.00000E+02,-7.00000E+02,0.00000E+00,2.24567E-10,6.60000E-03
28,-5.00000E+02,-7.00000E+02,0.00000E+00,3.99435E-10,4.90000E-03
29,-4.00000E+02,-7.00000E+02,0.00000E+00,2.11348E-10,6.80000E-03
30,-3.00000E+02,-7.00000E+02,0.00000E+00,3.34040E-12,4.97000E-02
31,-7.00000E+02,-6.00000E+02,0.00000E+00,2.28697E-10,6.50000E-03
32,-6.00000E+02,-6.00000E+02,0.00000E+00,1.71337E-08,7.00000E-04
33,-5.00000E+02,-6.00000E+02,0.00000E+00,3.09138E-08,5.00000E-04
34,-4.00000E+02,-6.00000E+02,0.00000E+00,1.56127E-08,7.00000E-04
35,-3.00000E+02,-6.00000E+02,0.00000E+00,2.01549E-10,6.90000E-03
36,-7.00000E+02,-5.00000E+02,0.00000E+00,4.26830E-10,4.80000E-03
37,-6.00000E+02,-5.00000E+02,0.00000E+00,3.30006E-08,5.00000E-04
38,-5.00000E+02,-5.00000E+02,0.00000E+00,5.91756E-08,4.00000E-04
39,-4.00000E+02,-5.00000E+02,0.00000E+00,3.05164E-08,5.00000E-04
40,-3.00000E+02,-5.00000E+02,0.00000E+00,3.99026E-10,5.00000E-03
41,-7.00000E+02,-4.00000E+02,0.00000E+00,2.48750E-10,6.30000E-03
42,-6.00000E+02,-4.00000E+02,0.00000E+00,1.80452E-08,7.00000E-04
43,-5.00000E+02,-4.00000E+02,0.00000E+00,3.26384E-08,5.00000E-04
44,-4.00000E+02,-4.00000E+02,0.00000E+00,1.69560E-08,7.00000E-04
45,-3.00000E+02,-4.00000E+02,0.00000E+00,2.22364E-10,6.60000E-03
46,-7.00000E+02,-3.00000E+02,0.00000E+00,3.94911E-12,4.51000E-02
47,-6.00000E+02,-3.00000E+02,0.00000E+00,2.39992E-10,6.40000E-03
48,-5.00000E+02,-3.00000E+02,0.00000E+00,4.34616E-10,4.70000E-03
49,-4.00000E+02,-3.00000E+02,0.00000E+00,2.27608E-10,6.50000E-03
50,-3.00000E+02,-3.00000E+02,0.00000E+00,3.89723E-12,4.30000E-02
51,-2.00000E+02,-7.00000E+02,0.00000E+00,1.09110E-12,8.64000E-02
52,-1.00000E+02,-7.00000E+02,0.00000E+00,9.54618E-11,1.01000E-02
53,0.00000E+00,-7.00000E+02,0.00000E+00,2.39119E-10,6.40000E-03
54,1.00000E+02,-7.00000E+02,0.00000E+00,9.08637E-11,1.03000E-02
55,2.00000E+02,-7.00000E+02,0.00000E+00,9.23958E-13,8.94000E-02
56,-2.00000E+02,-6.00000E+02,0.00000E+00,1.08464E-10,9.40000E-03
