Cell Number,X,Y,Z,Cell Flux,Standard Deviation
1,0.00000E+00,0.00000E+00,0.00000E+00,7.23472E-08,5.00000E-04
2,-2.00000E+02,-2.00000E+02,0.00000E+00,5.26577E-09,1.80000E-03
3,-1.00000E+02,-2.00000E+02,0.00000E+00,1.45114E-08,1.10000E-03
4,0.00000E+00,-2.00000E+02,0.00000E+00,1.84840E-08,1.00000E-03
5,1.00000E+02,-2.00000E+02,0.00000E+00,1.44491E-08,1.10000E-03
6,2.00000E+02,-2.00000E+02,0.00000E+00,4.67249E-09,1.90000E-03
7,-2.00000E+02,-1.00000E+02,0.00000E+00,1.34177E-08,1.10000E-03
8,-1.00000E+02,-1.00000E+02,0.00000E+00,3.97141E-08,7.00000E-04
9,0.00000E+00,-1.00000E+02,0.00000E+00,5.42120E-08,6.00000E-04
10,1.00000E+02,-1.00000E+02,0.00000E+00,3.88439E-08,7.00000E-04
11,2.00000E+02,-1.00000E+02,0.00000E+00,1.28168E-08,1.20000E-03
12,-2.00000E+02,0.00000E+00,0.00000E+00,1.84247E-08,1.00000E-03
13,-1.00000E+02,0.00000E+00,0.00000E+00,5.17501E-08,6.00000E-04
14,1.00000E+02,0.00000E+00,0.00000E+00,5.17502E-08,6.00000E-04
15,2.00000E+02,0.00000E+00,0.00000E+00,1.63489E-08,1.00000E-03
16,-2.00000E+02,1.00000E+02,0.00000E+00,1.30838E-08,1.10000E-03
17,-1.00000E+02,1.00000E+02,0.00000E+00,3.74748E-08,7.00000E-04
18,0.00000E+00,1.00000E+02,0.00000E+00,5.38465E-08,6.00000E-04
19,1.00000E+02,1.00000E+02,0.00000E+00,3.88066E-08,7.00000E-04
20,2.00000E+02,1.00000E+02,0.00000E+00,1.20287E-08,1.20000E-03
21,-2.00000E+02,2.00000E+02,0.00000E+00,4.75348E-09,1.90000E-03
22,-1.00000E+02,2.00000E+02,0.00000E+00,1.29344E-08,1.10000E-03
23,0.00000E+00,2.00000E+02,0.00000E+00,1.91101E-08,9.00000E-04
24,1.00000E+02,2.00000E+02,0.00000E+00,1.52525E-08,1.10000E-03
25,2.00000E+02,2.00000E+02,0.00000E+00,4.77331E-09,1.90000E-03
