X,Y,Z,Result,Rel Error
-200.0,-200.0,0.0,7.2747e-11,0.0313292
-200.0,-100.0,0.0,3.7363e-09,0.00482192
-200.0,0.0,0.0,5.96637e-09,0.00379497
-200.0,100.0,0.0,4.02262e-09,0.00465485
-200.0,200.0,0.0,8.7844e-11,0.0292795
-100.0,-200.0,0.0,3.60138e-09,0.00486792
-100.0,-100.0,0.0,2.40087e-07,0.000546709
-100.0,0.0,0.0,3.88411e-07,0.000418711
-100.0,100.0,0.0,2.58463e-07,0.000525888
-100.0,200.0,0.0,4.31518e-09,0.00448652
0.0,-200.0,0.0,5.94092e-09,0.00380315
0.0,-100.0,0.0,3.89252e-07,0.000418062
0.0,0.0,0.0,6.42601e-07,0.000310963
0.0,100.0,0.0,4.05631e-07,0.000408595
0.0,200.0,0.0,6.29184e-09,0.00369953
100.0,-200.0,0.0,4.01708e-09,0.00463371
100.0,-100.0,0.0,2.53803e-07,0.000531008
100.0,0.0,0.0,3.96037e-07,0.000414124
100.0,100.0,0.0,2.55183e-07,0.000529425
100.0,200.0,0.0,4.03175e-09,0.00464575
200.0,-200.0,0.0,7.78925e-11,0.0303656
200.0,-100.0,0.0,4.09094e-09,0.00461466
200.0,0.0,0.0,6.22985e-09,0.00372224
200.0,100.0,0.0,3.89564e-09,0.00468431
200.0,200.0,0.0,7.71391e-11,0.0312352
